UserId,product_list
2,"[11660064, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540, 13039442, 13039548]"
28,"[12407706, 13039778, 13039752, 12360404, 12407652, 13039812, 11659838, 12360426, 13039024, 14122832]"
36,"[12407648, 12360448, 11460916, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540]"
38,"[12406972, 11659798, 11659712, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540]"
41,"[11659236, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540, 13039442, 13039548]"
52,"[12406894, 11659236, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540, 13039442]"
67,"[12658300, 12658400, 11659842, 11659776, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618]"
69,"[12407388, 11660094, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540, 13039442]"
80,"[12657766, 12371376, 11659972, 12371246, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618]"
97,"[11520046, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540, 13039442, 13039548]"
100,"[13038874, 13039518, 12658230, 12995908, 11714538, 11460964, 11659602, 11714540, 12407730, 11659616]"
102,"[11361056, 11659626, 13038848, 13039602, 12657510, 12657762, 12360426, 13039024, 14122832, 13039516]"
137,"[13039516, 12658482, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540, 13039442]"
142,"[12407940, 11659696, 12407624, 12658154, 12407012, 12360426, 13039024, 14122832, 13039516, 12407770]"
159,"[13038974, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540, 13039442, 13039548]"
161,"[12407642, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540, 13039442, 13039548]"
208,"[12406874, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540, 13039442, 13039548]"
224,"[11659272, 13038648, 13649990, 11659158, 11660114, 12360426, 13039024, 14122832, 13039516, 12407770]"
238,"[13038832, 12995906, 13039650, 13039602, 11145740, 13039076, 13038858, 12360426, 13039024, 14122832]"
244,"[12371372, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540, 13039442, 13039548]"
247,"[12658000, 13653674, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540, 13039442]"
284,"[11659740, 12407850, 12657802, 11407222, 12360390, 12360426, 13039024, 14122832, 13039516, 12407770]"
299,"[13038820, 11659104, 11659448, 11659878, 11659576, 12407022, 11659540, 12406978, 12360426, 13039024]"
322,"[11659980, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540, 13039442, 13039548]"
348,"[13039356, 13038930, 13039478, 13039442, 13039440, 13039058, 13039814, 13039076, 13038934, 13038940]"
360,"[13038826, 12407132, 12371280, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540]"
377,"[12407390, 12371314, 12371318, 11659518, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618]"
378,"[12658104, 12657716, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540, 13039442]"
382,"[12371378, 12407318, 12657340, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540]"
402,"[12371368, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540, 13039442, 13039548]"
430,"[11407410, 12407534, 12658406, 12407880, 12658512, 11659960, 11659990, 11141346, 13038920, 12406922]"
466,"[11407116, 12407390, 11481024, 11360912, 11658984, 12407502, 12371354, 12407520, 12360426, 13039024]"
472,"[11407408, 13039840, 11659878, 12371242, 11659716, 12396536, 12360426, 13039024, 14122832, 13039516]"
480,"[12406912, 12407522, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540, 13039442]"
490,"[13039692, 13039792, 13039774, 12407766, 13039848, 13039518, 12407802, 12657614, 12658366, 12658404]"
518,"[12658356, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540, 13039442, 13039548]"
542,"[11360884, 11659004, 11659688, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540]"
565,"[13039780, 12360398, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540, 13039442]"
578,"[12407780, 13039526, 13039782, 13039514, 13039828, 12360390, 13039818, 12360426, 13039024, 14122832]"
579,"[12658584, 11660002, 12360374, 12696914, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618]"
593,"[13039518, 12360426, 13039024, 14122832, 13039516, 12407770, 13039618, 13039540, 13039442, 13039548]"
608,"[12995904, 12658414, 12657500, 12657722, 12657714, 12658438, 12658396, 12658232, 12658458, 12360426]"
